0 0.0497109 8.83748e-08 0.00570957 5.55424e-09 3.37225e-06 66
1 0.137858 6.73767e-07 0.0352132 1.30857e-07 0.000147694 58
2 0.227999 1.21004e-06 0.0826972 1.48191e-06 0.001004 45
3 0.318229 2.16218e-06 0.144347 8.31876e-06 0.0040438 32
4 0.403026 3.67341e-06 0.199107 1.05412e-05 0.00619125 32
5 0.497296 3.04258e-06 0.254883 2.28901e-05 0.0112213 32
6 0.585449 7.54347e-06 0.291879 2.54824e-05 0.0149527 32
7 0.67624 6.15752e-06 0.30677 1.78733e-05 0.0161531 32
8 0.768925 7.55165e-06 0.269649 1.76701e-05 0.012444 32
9 0.85714 6.70504e-06 0.220804 3.91512e-05 0.00961038 28
10 0.947707 1.45201e-06 0.128082 2.89824e-05 0.00324169 14
