0.05 5.26316e-5 0.049645043974696 4.9417778282641e-07
0.15 1.76471e-4 0.149958062994535 2.52455282406805e-06
0.25 3.33333e-4 0.248803644796444 5.99006113885525e-06
0.35 5.38462e-4 0.351095351602893 3.71239160017189e-06
0.45 8.18182e-4 0.450279445307840 3.59194636190274e-06
0.55 1.22222e-3 0.550378156647466 1.19664484252713e-05
0.65 1.85714e-3 0.651319973871914 4.41187200383997e-06
0.75 3.00000e-3 0.751058489779765 2.9349836426773e-06
0.85 5.66667e-3 0.850093992971171 1.20372156098281e-06
0.95 1.90000e-2 0.949560057440567 1.8565671116022e-06

         
